ID,name,country,origin,latitude,longitude,status,primaryfuel,capacity,lincost,upreg,downreg,upregcost,downregcost,UpCapCost,DnCapCost
g22,g22,Z1,n118,-,-,Online,Nuclear,400,7.229889,0,0,8.31437235,6.5069001,0.7229889,0.36149445
g23,g23,Z1,n121,-,-,Online,Nuclear,400,7.239889,0,0,8.32587235,6.5159001,0.7239889,0.36199445
g24,g24,Z1,n122,-,-,Online,CCGT,50,29.35566667,15,15,33.75901667,26.4201,2.935566667,1.467783333
g25,g25,Z1,n122,-,-,Online,CCGT,50,29.36566667,15,15,33.77051667,26.4291,2.936566667,1.468283333
g26,g26,Z1,n122,-,-,Online,CCGT,50,29.34566667,15,15,33.74751667,26.4111,2.934566667,1.467283333
g27,g27,Z1,n122,-,-,Online,CCGT,50,29.37566667,15,15,33.78201667,26.4381,2.937566667,1.468783333
g28,g28,Z1,n122,-,-,Online,CCGT,50,29.33566667,15,15,33.73601667,26.4021,2.933566667,1.466783333
g29,g29,Z1,n122,-,-,Online,CCGT,50,29.35616667,15,15,33.75959167,26.42055,2.935616667,1.467808333
g30,g30,Z1,n123,-,-,Online,IGCC,155,24.5149,0,0,28.192135,22.06341,2.45149,1.225745
g31,g31,Z1,n123,-,-,Online,IGCC,155,24.5449,0,0,28.226635,22.09041,2.45449,1.227245
g32,g32,Z1,n123,-,-,Online,Coal,350,26.70683333,0,0,30.71285833,24.03615,2.670683333,1.335341667
g33,g33,Z2,n201,-,-,Online,OCGT,20,29.40433333,6,6,33.81498333,26.4639,2.940433333,1.470216667
g34,g34,Z2,n201,-,-,Online,OCGT,20,29.39433333,6,6,33.80348333,26.4549,2.939433333,1.469716667
g35,g35,Z2,n201,-,-,Online,CCGT,76,19.351,22.8,22.8,22.25365,17.4159,1.9351,0.96755
g36,g36,Z2,n201,-,-,Online,CCGT,76,19.361,22.8,22.8,22.26515,17.4249,1.9361,0.96805
g37,g37,Z2,n202,-,-,Online,OCGT,20,29.38433333,6,6,33.79198333,26.4459,2.938433333,1.469216667
g38,g38,Z2,n202,-,-,Online,OCGT,20,29.37433333,6,6,33.78048333,26.4369,2.937433333,1.468716667
g39,g39,Z2,n202,-,-,Online,CCGT,76,19.341,22.8,22.8,22.24215,17.4069,1.9341,0.96705
g40,g40,Z2,n202,-,-,Online,CCGT,76,19.331,22.8,22.8,22.23065,17.3979,1.9331,0.96655
g41,g41,Z2,n207,-,-,Online,CCGT,100,18.37886667,30,30,21.13569667,16.54098,1.837886667,0.918943333
g42,g42,Z2,n208,-,-,Online,CCGT,100,18.38886667,30,30,21.14719667,16.54998,1.838886667,0.919443333
g43,g43,Z2,n208,-,-,Online,CCGT,100,18.36886667,30,30,21.12419667,16.53198,1.836886667,0.918443333
g44,g44,Z2,n213,-,-,Online,CCGT,197,17.80846667,59.1,59.1,20.47973667,16.02762,1.780846667,0.890423333
g45,g45,Z2,n213,-,-,Online,CCGT,197,17.81846667,59.1,59.1,20.49123667,16.03662,1.781846667,0.890923333
g46,g46,Z2,n213,-,-,Online,CCGT,197,17.82846667,59.1,59.1,20.50273667,16.04562,1.782846667,0.891423333
g47,g47,Z2,n215,-,-,Online,OCGT,12,30.243,3.6,3.6,34.77945,27.2187,3.0243,1.51215
g48,g48,Z2,n215,-,-,Online,OCGT,12,30.253,3.6,3.6,34.79095,27.2277,3.0253,1.51265
g49,g49,Z2,n215,-,-,Online,OCGT,12,30.263,3.6,3.6,34.80245,27.2367,3.0263,1.51315
g50,g50,Z2,n215,-,-,Online,OCGT,12,30.273,3.6,3.6,34.81395,27.2457,3.0273,1.51365
g51,g51,Z2,n215,-,-,Online,OCGT,12,30.255,3.6,3.6,34.79325,27.2295,3.0255,1.51275
g52,g52,Z2,n215,-,-,Online,IGCC,155,24.6249,0,0,28.318635,22.16241,2.46249,1.231245
g53,g53,Z2,n216,-,-,Online,IGCC,155,24.6349,0,0,28.330135,22.17141,2.46349,1.231745
g54,g54,Z2,n218,-,-,Online,Nuclear,400,7.329889,0,0,8.42937235,6.5969001,0.7329889,0.36649445
g55,g55,Z2,n221,-,-,Online,Nuclear,400,7.339889,0,0,8.44087235,6.6059001,0.7339889,0.36699445
g56,g56,Z2,n222,-,-,Online,CCGT,50,29.45566667,15,15,33.87401667,26.5101,2.945566667,1.472783333
g57,g57,Z2,n222,-,-,Online,CCGT,50,29.46566667,15,15,33.88551667,26.5191,2.946566667,1.473283333
g58,g58,Z2,n222,-,-,Online,CCGT,50,29.44566667,15,15,33.86251667,26.5011,2.944566667,1.472283333
g59,g59,Z2,n222,-,-,Online,CCGT,50,29.47566667,15,15,33.89701667,26.5281,2.947566667,1.473783333
g60,g60,Z2,n222,-,-,Online,CCGT,50,29.43566667,15,15,33.85101667,26.4921,2.943566667,1.471783333
g61,g61,Z2,n222,-,-,Online,CCGT,50,29.45616667,15,15,33.87459167,26.51055,2.945616667,1.472808333
g62,g62,Z2,n223,-,-,Online,IGCC,155,24.6149,0,0,28.307135,22.15341,2.46149,1.230745
g63,g63,Z2,n223,-,-,Online,IGCC,155,24.6449,0,0,28.341635,22.18041,2.46449,1.232245
g64,g64,Z2,n223,-,-,Online,Coal,350,26.80683333,0,0,30.82785833,24.12615,2.680683333,1.340341667
